index,axis-0,axis-1
238,200,313
239,201,439
240,202,509
241,204,176
242,204,434
243,205,441
244,206,323
245,207,423
246,207,448
247,207,458
248,207,468
249,208,451
250,209,179
251,209,420
252,209,435
253,210,275
254,210,427
255,210,440
256,211,183
257,211,234
258,211,462
259,212,363
260,212,444
261,213,102
262,213,430
263,214,267
264,214,452
265,217,415
266,217,422
267,217,436
268,217,457
269,218,481
270,220,192
271,220,430
272,220,446
273,221,102
274,221,204
275,221,327
276,222,92
277,222,422
278,222,439
279,223,356
280,224,453
281,226,416
282,226,423
283,227,12
284,227,134
285,227,313
286,227,413
287,227,461
288,228,182
289,229,372
290,230,427
291,230,431
292,231,453
293,233,429
294,233,433
295,233,448
296,233,458
297,234,317
298,234,377
299,234,407
300,234,422
301,235,82
302,235,149
303,235,462
304,236,253
305,236,369
306,236,417
307,236,443
308,238,137
309,239,265
310,239,276
311,239,326
312,239,419
313,239,427
314,239,432
315,239,472
316,239,496
317,240,409
318,241,385
319,242,148
320,242,253
321,242,466
322,243,450
323,244,439
324,245,308
325,245,430
326,246,412
327,246,465
328,247,199
329,247,455
330,247,510
331,248,447
332,249,118
333,249,227
334,249,418
335,249,461
336,250,466
337,252,425
338,252,461
339,253,445
340,254,25
341,254,195
342,254,354
343,254,399
344,254,451
345,255,388
346,256,430
347,256,440
348,257,169
349,257,323
350,258,224
351,258,409
352,258,476
353,259,395
354,259,402
355,261,117
356,261,376
357,261,431
358,261,451
359,262,144
360,263,402
361,263,466
362,264,381
363,264,419
364,265,364
365,266,67
366,266,406
367,266,453
368,267,373
369,267,477
370,269,304
371,269,471
372,270,415
373,270,421
374,271,437
375,272,151
376,272,329
377,272,362
378,273,391
379,274,404
380,275,230
381,275,254
382,275,432
383,276,470
384,277,141
385,277,437
386,278,377
387,278,423
388,280,266
389,280,395
390,280,412
391,282,422
392,283,177
393,285,418
394,285,435
395,285,477
396,287,108
397,287,402
398,287,411
399,287,427
400,288,395
401,288,444
402,289,264
403,290,417
404,291,437
405,291,441
406,292,51
407,292,474
408,292,479
409,293,354
410,294,414
411,294,425
412,297,252
413,297,349
414,297,455
415,298,435
416,300,280
417,300,433
418,301,182
419,301,415
420,301,446
421,301,471
422,301,506
423,302,278
424,303,272
425,306,445
426,307,460
427,308,299
428,311,453
429,312,271
430,312,415
431,313,70
432,313,287
433,313,353
434,315,8
435,315,391
436,316,83
437,316,264
438,316,400
439,316,443
440,317,425
441,318,365
442,320,404
443,321,410
444,321,440
445,322,208
446,323,357
447,324,166
448,324,347
449,325,27
450,326,156
451,326,405
452,329,372
453,329,440
454,330,348
455,331,182
456,332,158
457,332,382
458,332,399
459,333,174
460,333,216
461,333,416
462,334,308
463,334,374
464,335,14
465,335,366
466,336,392
467,337,282
468,337,377
469,338,415
470,338,430
471,341,127
472,341,263
473,341,402
474,342,406
475,343,349
476,344,395
477,344,431
478,344,477
479,346,192
480,346,358
481,347,147
482,348,152
483,349,91
484,349,109
485,349,311
486,349,395
487,350,329
488,350,423
489,351,71
490,351,347
491,351,414
492,352,417
493,354,427
494,358,427
495,359,120
496,359,131
497,361,500
498,362,364
499,363,249
500,363,394
501,364,398
502,365,124
503,365,425
504,365,492
505,366,375
506,367,111
507,367,411
508,368,431
509,369,102
510,370,387
511,371,192
512,371,204
513,372,253
514,373,182
515,374,49
516,374,250
517,378,135
518,378,207
519,379,96
520,380,313
521,380,369
522,384,150
523,384,243
524,385,433
525,386,455
526,387,510
527,389,261
528,390,420
529,391,407
530,392,97
531,393,438
532,397,138
533,400,85
534,400,451
535,403,125
536,406,478
537,409,71
538,409,307
539,409,450
540,411,504
541,412,81
542,412,85
543,415,102
544,416,107
545,416,223
546,417,352
547,420,100
548,422,90
549,423,83
550,423,108
551,423,388
552,424,193
553,425,95
554,425,100
555,426,76
556,429,36
557,430,96
558,432,238
559,433,104
560,436,83
561,437,99
562,443,35
563,443,343
564,444,83
565,444,497
566,445,336
567,447,102
568,447,257
569,448,358
570,454,388
571,455,312
572,456,105
573,466,334
574,468,126
575,469,140
576,469,160
577,472,314
578,473,93
579,473,283
580,473,445
581,474,337
582,475,165
583,475,406
584,476,136
585,478,114
586,479,142
587,479,419
588,481,105
589,481,328
590,484,201
591,484,357
592,484,391
593,485,71
594,486,338
595,487,342
596,489,106
597,489,493
598,490,247
599,493,101
600,493,362
601,495,368
602,495,380
603,498,342
604,499,92
605,499,378
606,499,478
607,499,499
608,500,388
609,501,412
610,502,318
611,504,280
612,507,79
613,508,488
614,509,344
615,510,510
