index,axis-0,axis-1
617,209,381
618,210,74
619,210,171
620,210,311
621,210,364
622,210,441
623,210,486
624,210,510
625,211,218
626,211,270
627,212,389
628,213,53
629,213,73
630,213,182
631,214,219
632,214,282
633,214,383
634,215,51
635,215,125
636,215,181
637,215,223
638,215,322
639,215,358
640,217,7
641,217,238
642,218,53
643,218,84
644,219,27
645,219,110
646,221,171
647,221,257
648,221,409
649,222,108
650,222,282
651,223,126
652,223,137
653,223,186
654,223,191
655,223,194
656,223,209
657,223,464
658,224,392
659,224,404
660,224,444
661,225,290
662,226,96
663,226,475
664,227,389
665,227,397
666,227,456
667,228,311
668,229,34
669,229,322
670,229,340
671,229,495
672,230,176
673,230,286
674,230,479
675,231,20
676,231,190
677,233,252
678,234,52
679,234,141
680,234,291
681,234,387
682,234,486
683,234,490
684,235,149
685,235,282
686,235,330
687,236,129
688,237,4
689,237,70
690,237,76
691,237,280
692,237,378
693,238,390
694,238,428
695,240,38
696,240,105
697,240,178
698,241,74
699,241,130
700,241,233
701,241,478
702,242,372
703,242,400
704,243,364
705,244,3
706,244,8
707,244,188
708,244,350
709,245,97
710,245,106
711,245,154
712,246,253
713,246,487
714,247,443
715,248,129
716,248,174
717,248,287
718,249,24
719,249,81
720,249,271
721,250,4
722,250,238
723,250,297
724,251,64
725,251,88
726,251,507
727,252,83
728,252,190
729,252,256
730,253,391
731,253,408
732,253,445
733,254,214
734,254,358
735,255,92
736,255,244
737,255,301
738,255,320
739,255,484
740,256,78
741,256,251
742,256,420
743,257,14
744,258,365
745,258,378
746,258,405
747,258,481
748,258,508
749,259,33
750,259,168
751,259,370
752,260,17
753,260,65
754,260,344
755,260,492
756,261,48
757,261,88
758,262,72
759,262,178
760,262,273
761,262,361
762,263,47
763,263,76
764,263,156
765,263,175
766,263,300
767,264,43
768,265,268
769,266,0
770,266,95
771,266,125
772,266,315
773,266,454
774,267,428
775,267,471
776,268,5
777,268,149
778,268,265
779,268,305
780,269,477
781,270,74
782,270,316
783,270,339
784,270,423
785,271,39
786,271,443
787,271,450
788,272,43
789,272,309
790,272,347
791,272,461
792,273,119
793,273,244
794,273,386
795,274,203
796,275,267
797,275,277
798,275,461
799,276,81
800,276,152
801,276,171
802,276,234
803,276,406
804,276,498
805,277,367
806,278,115
807,278,125
808,278,333
809,279,67
810,279,111
811,279,499
812,280,48
813,280,188
814,280,333
815,281,283
816,281,296
817,281,347
818,281,447
819,282,13
820,282,47
821,282,205
822,283,59
823,283,88
824,283,214
825,283,393
826,284,53
827,284,91
828,284,502
829,285,58
830,285,144
831,285,377
832,286,199
833,286,271
834,286,347
835,286,446
836,286,466
837,287,43
838,287,338
839,287,444
840,288,118
841,288,215
842,288,383
843,289,108
844,289,342
845,290,61
846,290,277
847,290,494
848,291,167
849,291,230
850,291,397
851,291,477
852,292,71
853,292,250
854,292,302
855,292,355
856,293,34
857,293,342
858,293,506
859,294,3
860,294,293
861,294,331
862,294,487
863,295,425
864,296,459
865,296,511
866,297,246
867,297,273
868,297,449
869,297,473
870,298,110
871,298,180
872,298,304
873,299,333
874,299,442
875,300,65
876,300,383
877,301,20
878,301,93
879,302,355
880,302,443
881,303,50
882,303,132
883,303,139
884,303,508
885,304,191
886,304,290
887,304,316
888,304,395
889,305,241
890,305,258
891,305,304
892,305,382
893,306,472
894,307,19
895,307,217
896,307,399
897,307,490
898,308,34
899,308,361
900,308,397
901,310,43
902,310,421
903,310,426
904,311,168
905,311,285
906,311,487
907,312,83
908,312,186
909,312,367
910,312,380
911,313,225
912,313,248
913,314,52
914,314,327
915,314,330
916,315,482
917,316,0
918,316,398
919,317,70
920,317,180
921,318,14
922,319,45
923,319,156
924,319,262
925,319,264
926,319,302
927,319,349
928,320,94
929,320,250
930,320,342
931,321,97
932,321,105
933,321,177
934,321,373
935,321,430
936,321,458
937,322,420
938,322,453
939,322,495
940,323,196
941,323,238
942,323,484
943,324,269
944,324,351
945,324,380
946,324,393
947,324,442
948,324,465
949,325,377
950,325,462
951,326,39
952,326,66
953,326,337
954,326,411
955,327,237
956,327,434
957,327,458
958,328,168
959,328,179
960,328,277
961,328,309
962,329,37
963,329,95
964,329,108
965,329,143
966,329,345
967,329,463
968,330,80
969,330,400
970,331,13
971,331,115
972,331,191
973,331,239
974,331,337
975,331,442
976,332,138
977,332,169
978,332,265
979,332,319
980,332,332
981,332,394
982,333,32
983,333,58
984,333,183
985,333,291
986,333,299
987,334,61
988,334,121
989,334,131
990,334,163
991,334,460
992,335,46
993,335,145
994,335,244
995,336,28
996,337,37
997,337,168
998,337,247
999,337,390
1000,337,397
1001,338,123
1002,338,164
1003,338,478
1004,339,167
1005,339,285
1006,339,467
1007,340,302
1008,340,374
1009,340,438
1010,341,89
1011,341,232
1012,341,255
1013,341,474
1014,342,20
1015,342,125
1016,342,189
1017,342,217
1018,342,356
1019,343,95
1020,343,153
1021,343,211
1022,343,252
1023,343,334
1024,344,81
1025,344,300
1026,345,184
1027,345,206
1028,345,340
1029,345,389
1030,345,467
1031,346,275
1032,347,101
1033,347,220
1034,347,304
1035,348,118
1036,348,151
1037,348,184
1038,348,480
1039,349,6
1040,349,354
1041,350,396
1042,351,155
1043,351,359
1044,352,68
1045,352,83
1046,352,185
1047,352,335
1048,353,73
1049,353,107
1050,353,188
1051,353,367
1052,353,394
1053,353,452
1054,354,81
1055,354,166
1056,354,473
1057,355,206
1058,355,250
1059,355,320
1060,355,384
1061,356,85
1062,356,111
1063,356,195
1064,357,75
1065,357,184
1066,357,297
1067,357,471
1068,358,47
1069,358,72
1070,358,259
1071,358,275
1072,359,364
1073,359,485
1074,360,123
1075,360,320
1076,360,423
1077,361,368
1078,361,441
1079,362,101
1080,362,119
1081,362,263
1082,362,352
1083,363,29
1084,363,106
1085,363,377
1086,364,490
1087,365,1
1088,365,119
1089,366,29
1090,366,54
1091,366,415
1092,366,485
1093,367,252
1094,368,150
1095,368,439
1096,369,134
1097,370,391
1098,371,459
1099,372,62
1100,372,259
1101,372,290
1102,372,316
1103,372,493
1104,373,4
1105,373,39
1106,373,273
1107,373,464
1108,374,226
1109,374,256
1110,375,366
1111,375,470
1112,376,133
1113,376,449
1114,377,101
1115,377,173
1116,377,258
1117,377,306
1118,377,364
1119,377,485
1120,378,21
1121,378,135
1122,378,262
1123,378,414
1124,379,220
1125,379,298
1126,379,316
1127,379,408
1128,380,113
1129,380,134
1130,380,335
1131,380,368
1132,380,464
1133,380,478
1134,381,60
1135,381,160
1136,381,413
1137,381,443
1138,381,476
1139,382,208
1140,383,262
1141,383,266
1142,384,131
1143,384,142
1144,384,237
1145,385,469
1146,386,109
1147,386,137
1148,386,384
1149,386,477
1150,387,56
1151,387,399
1152,388,391
1153,389,116
1154,389,174
1155,390,279
1156,391,155
1157,391,226
1158,391,320
1159,392,167
1160,392,203
1161,393,297
1162,394,310
1163,394,460
1164,395,15
1165,395,144
1166,395,156
1167,395,233
1168,395,339
1169,396,44
1170,396,116
1171,396,230
1172,396,239
1173,397,191
1174,397,393
1175,397,408
1176,397,477
1177,398,96
1178,398,101
1179,398,221
1180,398,331
1181,398,381
1182,398,503
1183,399,56
1184,399,253
1185,399,499
1186,400,38
1187,400,144
1188,401,170
1189,401,230
1190,401,295
1191,402,220
1192,402,266
1193,402,346
1194,402,417
1195,402,457
1196,402,483
1197,403,105
1198,403,133
1199,403,393
1200,403,486
1201,404,225
1202,404,388
1203,405,152
1204,405,338
1205,406,122
1206,407,356
1207,407,487
1208,408,453
1209,408,494
1210,410,181
1211,410,204
1212,410,368
1213,410,491
1214,410,498
1215,411,2
1216,411,51
1217,411,459
1218,411,476
1219,412,12
1220,412,100
1221,413,279
1222,413,305
1223,413,400
1224,413,460
1225,414,191
1226,414,373
1227,415,19
1228,415,31
1229,415,140
1230,415,177
1231,415,451
1232,416,186
1233,416,203
1234,416,426
1235,417,198
1236,417,299
1237,417,371
1238,418,12
1239,418,91
1240,418,128
1241,418,219
1242,418,239
1243,418,293
1244,418,402
1245,419,135
1246,419,459
1247,420,129
1248,421,145
1249,421,187
1250,421,292
1251,421,383
1252,421,502
1253,422,82
1254,422,185
1255,422,266
1256,422,431
1257,422,469
1258,423,13
1259,423,120
1260,423,203
1261,423,317
1262,424,359
1263,425,166
1264,426,40
1265,426,115
1266,426,151
1267,426,479
1268,426,503
1269,427,374
1270,427,411
1271,428,88
1272,428,214
1273,429,166
1274,429,390
1275,430,179
1276,430,181
1277,430,408
1278,431,119
1279,431,432
1280,431,481
1281,432,20
1282,433,33
1283,433,179
1284,433,323
1285,434,343
1286,435,121
1287,435,381
1288,436,52
1289,436,67
1290,436,172
1291,437,194
1292,437,292
1293,438,125
1294,438,211
1295,438,257
1296,438,268
1297,438,462
1298,439,143
1299,439,222
1300,439,301
1301,439,337
1302,440,227
1303,440,340
1304,441,216
1305,441,244
1306,441,296
1307,441,468
1308,442,209
1309,443,40
1310,443,53
1311,443,56
1312,443,121
1313,443,278
1314,443,294
1315,444,25
1316,444,61
1317,444,144
1318,444,334
1319,445,124
1320,445,193
1321,445,237
1322,445,313
1323,445,418
1324,446,185
1325,446,262
1326,446,354
1327,447,10
1328,447,33
1329,447,36
1330,447,466
1331,447,494
1332,448,129
1333,448,249
1334,448,502
1335,449,228
1336,450,255
1337,450,439
1338,450,462
1339,450,494
1340,451,293
1341,452,64
1342,453,205
1343,454,109
1344,454,169
1345,454,303
1346,454,371
1347,455,191
1348,455,288
1349,455,351
1350,456,8
1351,456,165
1352,456,255
1353,456,357
1354,456,417
1355,457,55
1356,457,360
1357,458,114
1358,459,283
1359,459,340
1360,459,356
1361,459,378
1362,459,480
1363,459,485
1364,459,509
1365,460,405
1366,460,460
1367,461,29
1368,461,92
1369,461,313
1370,461,330
1371,461,492
1372,462,119
1373,462,172
1374,462,281
1375,462,394
1376,462,479
1377,463,85
1378,463,135
1379,463,277
1380,464,101
1381,464,339
1382,464,424
1383,464,455
1384,465,107
1385,465,253
1386,465,261
1387,465,276
1388,465,322
1389,465,461
1390,466,97
1391,466,135
1392,466,171
1393,467,274
1394,467,363
1395,467,451
1396,467,482
1397,468,17
1398,468,145
1399,469,72
1400,469,202
1401,469,231
1402,469,470
1403,469,499
1404,470,26
1405,470,366
1406,470,428
1407,470,489
1408,471,37
1409,471,157
1410,471,214
1411,471,431
1412,472,221
1413,472,337
1414,472,422
1415,473,387
1416,474,151
1417,474,432
1418,475,42
1419,475,363
1420,475,460
1421,476,239
1422,476,287
1423,476,299
1424,476,305
1425,477,56
1426,477,171
1427,477,393
1428,478,15
1429,478,115
1430,478,351
1431,480,369
1432,481,108
1433,481,122
1434,481,154
1435,481,422
1436,483,127
1437,483,167
1438,483,264
1439,483,439
1440,484,107
1441,485,358
1442,485,458
1443,486,479
1444,487,247
1445,487,421
1446,488,110
1447,488,209
1448,488,217
1449,489,340
1450,490,27
1451,490,36
1452,490,98
1453,490,196
1454,490,258
1455,490,431
1456,491,90
1457,491,369
1458,492,502
1459,494,0
1460,494,58
1461,494,131
1462,494,255
1463,494,342
1464,494,371
1465,494,436
1466,494,474
1467,495,49
1468,495,109
1469,495,427
1470,496,6
1471,496,133
1472,496,243
1473,496,357
1474,497,406
1475,498,140
1476,498,369
1477,499,231
1478,499,258
1479,500,238
1480,501,271
1481,502,3
1482,502,362
1483,502,480
1484,503,269
1485,504,18
1486,506,379
1487,506,474
1488,507,11
1489,508,71
1490,508,240
1491,508,383
1492,509,16
1493,510,66
1494,510,76
1495,510,234
1496,510,429
1497,511,214
